ts,occ,scenario,rep_num
0.0,0.0,base_r3s4i18s2,1
2.292487805617881,1.0,base_r3s4i18s2,1
2.3340946835457603,2.0,base_r3s4i18s2,1
2.618355741282077,3.0,base_r3s4i18s2,1
4.204851317152571,4.0,base_r3s4i18s2,1
4.635022448805749,5.0,base_r3s4i18s2,1
5.4503638158793635,6.0,base_r3s4i18s2,1
5.6459883589828515,7.0,base_r3s4i18s2,1
6.48926173575653,8.0,base_r3s4i18s2,1
6.63479190945894,9.0,base_r3s4i18s2,1
7.419683152069177,10.0,base_r3s4i18s2,1
7.662292230561336,11.0,base_r3s4i18s2,1
8.363249838952626,12.0,base_r3s4i18s2,1
8.597415152311136,13.0,base_r3s4i18s2,1
9.44306359425347,14.0,base_r3s4i18s2,1
9.63918309584791,15.0,base_r3s4i18s2,1
10.661586758455293,16.0,base_r3s4i18s2,1
11.215204563427145,17.0,base_r3s4i18s2,1
11.301377990941376,18.0,base_r3s4i18s2,1
11.502747210953256,19.0,base_r3s4i18s2,1
12.523516003452958,20.0,base_r3s4i18s2,1
13.074723511961137,21.0,base_r3s4i18s2,1
13.481388245911914,22.0,base_r3s4i18s2,1
14.195689932498727,23.0,base_r3s4i18s2,1
14.34535931138693,24.0,base_r3s4i18s2,1
15.202039973710622,25.0,base_r3s4i18s2,1
15.410884643082273,24.0,base_r3s4i18s2,1
16.267452810983798,25.0,base_r3s4i18s2,1
17.428808929470996,24.0,base_r3s4i18s2,1
17.428808929470996,25.0,base_r3s4i18s2,1
18.866127763174557,24.0,base_r3s4i18s2,1
18.866127763174557,25.0,base_r3s4i18s2,1
19.369231386827238,24.0,base_r3s4i18s2,1
19.369231386827238,25.0,base_r3s4i18s2,1
19.81130371544716,24.0,base_r3s4i18s2,1
19.81130371544716,25.0,base_r3s4i18s2,1
19.927807211102255,24.0,base_r3s4i18s2,1
19.927807211102255,25.0,base_r3s4i18s2,1
20.00108712250494,24.0,base_r3s4i18s2,1
20.00108712250494,25.0,base_r3s4i18s2,1
20.62834622475756,24.0,base_r3s4i18s2,1
20.62834622475756,25.0,base_r3s4i18s2,1
22.619168260154815,24.0,base_r3s4i18s2,1
22.619168260154815,25.0,base_r3s4i18s2,1
22.83775220241364,24.0,base_r3s4i18s2,1
22.83775220241364,25.0,base_r3s4i18s2,1
23.644051735877866,24.0,base_r3s4i18s2,1
23.644051735877866,25.0,base_r3s4i18s2,1
23.697012654233156,24.0,base_r3s4i18s2,1
23.697012654233156,25.0,base_r3s4i18s2,1
23.784791184106094,24.0,base_r3s4i18s2,1
23.784791184106094,25.0,base_r3s4i18s2,1
23.79509838325813,24.0,base_r3s4i18s2,1
23.79509838325813,25.0,base_r3s4i18s2,1
24.487898082775104,24.0,base_r3s4i18s2,1
24.487898082775104,25.0,base_r3s4i18s2,1
24.882773968193902,24.0,base_r3s4i18s2,1
24.882773968193902,25.0,base_r3s4i18s2,1
25.91794196778789,24.0,base_r3s4i18s2,1
25.91794196778789,25.0,base_r3s4i18s2,1
26.0201734861052,24.0,base_r3s4i18s2,1
26.0201734861052,25.0,base_r3s4i18s2,1
27.775687601833326,24.0,base_r3s4i18s2,1
27.775687601833326,25.0,base_r3s4i18s2,1
28.150845020111493,24.0,base_r3s4i18s2,1
28.150845020111493,25.0,base_r3s4i18s2,1
28.234026649676085,24.0,base_r3s4i18s2,1
28.234026649676085,25.0,base_r3s4i18s2,1
28.310832504643294,24.0,base_r3s4i18s2,1
28.310832504643294,25.0,base_r3s4i18s2,1
29.348789656149698,24.0,base_r3s4i18s2,1
29.348789656149698,25.0,base_r3s4i18s2,1
29.75566144066135,24.0,base_r3s4i18s2,1
29.75566144066135,25.0,base_r3s4i18s2,1
30.1898095526602,24.0,base_r3s4i18s2,1
30.1898095526602,25.0,base_r3s4i18s2,1
31.773212608396406,24.0,base_r3s4i18s2,1
31.773212608396406,25.0,base_r3s4i18s2,1
32.49256524351155,24.0,base_r3s4i18s2,1
32.49256524351155,25.0,base_r3s4i18s2,1
33.55989324210141,24.0,base_r3s4i18s2,1
33.55989324210141,25.0,base_r3s4i18s2,1
33.99085395436501,24.0,base_r3s4i18s2,1
33.99085395436501,25.0,base_r3s4i18s2,1
35.16184652586529,24.0,base_r3s4i18s2,1
35.16184652586529,25.0,base_r3s4i18s2,1
35.72971570797768,24.0,base_r3s4i18s2,1
35.72971570797768,25.0,base_r3s4i18s2,1
35.941423361448685,24.0,base_r3s4i18s2,1
